drug,symptom,indication
U305,C0020429,1.0
U273,C2364082,0.0
U1027,C0034150,0.0
U550,C0018681,1.0
U810,C0020429,1.0
U108,C0020429,1.0
U705,C0023015,0.0
U262,C0020429,1.0
U536,C0231807,0.0
U325,C0020429,1.0
U24,C0010200,1.0
U584,C0018681,1.0
U519,C0023380,0.0
U135,C0020505,1.0
U858,C0018989,1.0
U241,C0013421,0.0
U198,C0021359,0.0
U795,C0010200,1.0
U216,C0178417,0.0
U84,C0032617,0.0
U372,C0015967,1.0
U214,C0030193,1.0
U340,C0020305,0.0
U905,C0231528,0.0
U50,C0020429,1.0
U54,C0018681,1.0
U831,C0231835,0.0
U292,C0040034,0.0
U1010,C1384666,0.0
U852,C0020429,0.0
U631,C0023186,0.0
U697,C0042571,1.0
U699,C0019572,0.0
U440,C0012833,1.0
U875,C0030193,1.0
U90,C0476254,0.0
U838,C0018834,0.0
U230,C0013604,1.0
U748,C0021368,0.0
U688,C0012833,0.0
U17,C0030193,1.0
U386,C0023530,1.0
U162,C0042571,1.0
U560,C0011570,1.0
U236,C0000737,1.0
U91,C0018681,1.0
U447,C0042571,1.0
U814,C0751837,0.0
U612,C0018834,1.0
U63,C0027498,0.0
U693,C0151786,0.0
U789,C0022346,1.0
U668,C0030193,1.0
U274,C0042798,0.0
U891,C0018681,1.0
U442,C0030193,1.0
U505,C0036572,1.0
U513,C0030193,1.0
U39,C0042798,0.0
U841,C0043094,0.0
U630,C0206160,0.0
U273,C0010200,1.0
U899,C0020429,1.0
U64,C0003578,0.0
U81,C0020505,0.0
U72,C0003635,0.0
U107,C0271215,0.0
U211,C0000737,1.0
U296,C0020429,1.0
U120,C0030193,1.0
U781,C0018989,0.0
U751,C0042798,0.0
U6,C0009421,1.0
U948,C0022346,1.0
U185,C0011991,1.0
U512,C0234132,0.0
U637,C0030193,1.0
U963,C0008031,1.0
U513,C0020429,1.0
U423,C0008031,0.0
U36,C0042571,1.0
