symptom,protein
C0032914,3569
C0032914,2878
C0032914,64073
C0032914,64324
C0032914,3952
C0032914,30816
C0032914,7450
C0032914,462
C0032914,4878
C0032914,10761
C0032914,219736
C0032914,3827
C0032914,5327
C0032914,3030
C0032914,100124700
C0032914,2052
C0032914,1471
C0032914,10699
C0338591,4221
C0338591,1512
C0338591,5621
C0338591,5663
C0338591,8654
C0338591,27445
C0338591,126364
C0338591,6403
C0338591,3119
C0338591,3123
C0338591,5542
C0338591,9244
C0338591,2353
C0338591,3060
C0338591,4340
C0338591,22891
C0338591,501
C0338591,5032
C0338591,1316
C0338591,6117
C0338591,2033
C0338591,7292
C0338591,627
C0338591,4153
C0338591,759
C0700590,779
C0700590,6571
C0700590,1293
C0700590,5621
C0700590,6391
C0700590,7015
C0700590,10892
C0700590,27086
C0700590,51750
C0700590,55135
C0700590,667
C0700590,3857
C0700590,6833
C0700590,330
C0700590,10555
C0700590,3492
C0700590,627
C0700590,3717
C0700590,23529
C0700590,8710
C0700590,4221
C0700590,26277
C0700590,6578
C0700590,2556
C0700590,3508
C0700590,3853
C0700590,3868
C0700590,6390
C0700590,9244
C0700590,7012
C0700590,8929
C0700590,3074
C0700590,6335
C0700590,23095
C0700590,1292
C0700590,429
C0700590,547
C0700590,3106
C0700590,3593
C0700590,3861
C0700590,26580
C0700590,7066
C0700590,55505
C0700590,5073
C0700590,3767
C0700590,5604
C0700590,6927
C0700590,3248
C0700590,3848
C0700590,1644
C0700590,7428
C0700590,5605
C0700590,3145
C0700590,857
C0700590,8915
C0700590,1291
C0700590,3094
C0700590,3728
C0700590,3172
C0700590,3872
C0700590,6392
C0700590,8517
C0700590,5979
C0700590,7351
C0700590,3854
C0700590,2517
C0700590,11280
C0700590,3852
C0700590,1736
C0700590,2353
C0700590,4352
C0700590,55651
C0700590,1908
C0700590,5696
C0700590,2261
C0700590,9049
C0700590,6945
C0700590,3977
C0700590,5468
C0700590,2668
C0700590,8802
C0019572,9060
C0019572,4853
C0019572,3756
C0019572,5566
C0019572,2799
C0019572,2263
C0019572,2908
C0019572,10847
C0019572,10806
C0019572,5443
C0019572,26580
C0019572,8085
C0019572,5468
C0019572,582
C0019572,9509
C0019572,4669
C0019572,411
C0019572,5506
C0019572,9210
C0019572,2316
C0019572,7319
C0019572,1020
C0019572,8243
C0019572,4313
C0019572,10128
C0019572,4000
C0019572,5573
C0019572,2990
C0019572,6448
C0019572,1387
C0019572,54361
C0019572,585
C0019572,2074
C0019572,7403
C0019572,10555
C0019572,857
C0019572,2033
C0019572,2492
C0019572,54187
C0019572,8195
C0019572,3425
C0019572,9049
C0019572,25836
C0019572,9126
C0019572,54453
C0019572,9563
C0006625,545
C0006625,4512
C0006625,5743
C0006625,5116
C0006625,10733
C0006625,1293
C0006625,10479
C0006625,4591
C0006625,1062
C0006625,3569
C0006625,8398
C0006625,207
C0006625,2073
C0006625,4683
C0006625,4514
C0006625,2071
C0006625,8803
C0006625,939
C0006625,5428
C0006625,4535
C0006625,6535
C0006625,10293
C0006625,5744
C0006625,3643
C0006625,22995
C0006625,1890
C0006625,7040
C0006625,3988
C0006625,2068
C0006625,1004
C0006625,5932
C0006625,1303
C0006625,4204
C0006625,7538
C0006625,4541
C0006625,50484
C0006625,1292
C0006625,4513
C0006625,51738
C0006625,4538
C0006625,4540
C0006625,8450
C0006625,3576
C0006625,7124
C0006625,7132
C0006625,1291
C0006625,5728
C0006625,2072
C0006625,9935
C0006625,9663
C0027498,5290
C0027498,3592
C0027498,3691
C0027498,4512
C0027498,9940
C0027498,1499
C0027498,6391
C0027498,4292
C0027498,10892
C0027498,27086
C0027498,3663
C0027498,2717
C0027498,1230
C0027498,4210
C0027498,6389
C0027498,2956
C0027498,5053
C0027498,72
C0027498,355
C0027498,330
C0027498,3492
C0027498,4513
C0027498,5378
C0027498,6598
C0027498,3815
C0027498,10320
C0027498,7099
C0027498,3115
C0027498,3845
C0027498,26608
C0027498,6390
C0027498,8302
C0027498,6049
C0027498,3988
C0027498,5395
C0027498,1776
C0027498,1235
C0027498,1493
C0027498,538
C0027498,554
C0027498,6775
C0027498,5728
C0027498,3586
C0027498,3106
C0027498,2969
C0027498,4902
C0027498,1376
C0027498,22909
C0027498,7048
C0027498,359
C0027498,2006
C0027498,7148
C0027498,3123
C0027498,4436
C0027498,9569
C0027498,4535
C0027498,4072
C0027498,3141
C0027498,7428
C0027498,27030
C0027498,3145
C0027498,720
C0027498,1910
C0027498,51752
C0027498,10512
C0027498,4541
C0027498,26191
C0027498,857
C0027498,5156
C0027498,51741
C0027498,8915
C0027498,672
C0027498,3655
C0027498,5657
C0027498,2592
C0027498,9031
C0027498,5982
C0027498,1889
C0027498,5979
C0027498,7490
C0027498,3984
C0027498,673
C0027498,4514
C0027498,2130
C0027498,4629
C0027498,1908
C0027498,7461
C0027498,1371
C0027498,4538
C0027498,4540
C0027498,2668
C0018777,2314
C0018777,2317
C0018777,7275
C0018777,55624
C0018777,6101
C0018777,10194
C0018777,583
C0018777,51715
C0018777,2697
C0018777,6010
C0018777,6102
C0018777,7399
C0018777,10594
C0018777,5648
C0018777,10210
C0018777,4117
C0018777,4751
C0018777,5145
C0018777,6295
C0018777,9533
C0018777,23568
C0018777,1259
C0018777,5158
C0018777,9742
C0018777,90
C0018777,9632
C0018777,5396
C0018777,9487
C0018777,1406
C0018777,9343
C0018777,9401
C0018777,2263
C0018777,6949
C0018777,6899
C0018777,10743
C0018777,8085
C0018777,7287
C0018777,5995
C0018777,23384
C0018777,5906
C0018777,10262
C0018777,5456
C0018777,8243
C0018777,6885
C0018777,6094
C0018777,26137
C0018777,4854
C0018777,7439
C0018777,7403
C0018777,6628
C0018777,5885
C0018777,23426
C0018777,27019
C0018777,2706
C0018777,6121
C0018777,257
C0018777,10002
C0018777,6103
C0018777,1909
C0018777,6239
C0018777,4222
C0018777,9227
C0018777,51082
C0018777,6495
C0018777,23418
C0018777,5949
C0018777,26121
C0018777,1258
C0018777,5238
C0018777,9128
C0018777,3614
C0018777,762
C0018777,26160
C0018777,6100
C0018777,1146
C0018777,50964
C0018777,10907
C0018777,8642
C0018777,1280
C0018777,24
C0018777,24148
C0018777,8481
C0018777,4041
C0018777,8842
C0018777,421
C0018777,9126
C0018777,25836
C0018777,5075
C0018777,4853
C0018777,10461
C0018777,7290
C0018777,7401
C0018777,29072
